Dates;GTDEM3M Govt;GTDEM1Y Govt;GTDEM5Y Govt;GTDEM10Y Govt;GTDEM15Y Govt;GTDEM20Y Govt;GTDEM30Y Govt
01.01.2003;2,96;2,652;3,398;4,204;4,514;4,804;4,843
02.01.2003;2,981;2,708;3,508;4,311;4,618;4,911;4,951
03.01.2003;2,953;2,702;3,519;4,333;4,639;4,934;4,972
06.01.2003;2,95;2,669;3,481;4,312;4,624;4,937;4,977
07.01.2003;2,82;2,649;3,452;4,286;4,595;4,906;4,944
08.01.2003;2,818;2,626;3,405;4,272;4,539;4,846;4,888
09.01.2003;2,826;2,647;3,433;4,284;4,563;4,855;4,898
10.01.2003;2,829;2,63;3,41;4,265;4,546;4,836;4,878
13.01.2003;2,826;2,641;3,436;4,286;4,568;4,852;4,895
14.01.2003;2,82;2,641;3,421;4,272;4,54;4,819;4,861
15.01.2003;2,818;2,644;3,416;4,269;4,537;4,822;4,866
16.01.2003;2,831;2,671;3,419;4,263;4,546;4,836;4,884
17.01.2003;2,857;2,614;3,317;4,174;4,459;4,774;4,819
20.01.2003;2,847;2,622;3,289;4,146;4,428;4,74;4,787
21.01.2003;2,825;2,622;3,291;4,131;4,407;4,716;4,762
22.01.2003;2,819;2,597;3,278;4,12;4,394;4,704;4,752
23.01.2003;2,817;2,593;3,268;4,097;4,364;4,683;4,7
24.01.2003;2,804;2,565;3,226;4,025;4,298;4,612;4,661
27.01.2003;2,813;2,57;3,241;4,022;4,293;4,595;4,638
28.01.2003;2,818;2,583;3,258;4,054;4,327;4,627;4,676
29.01.2003;2,813;2,561;3,252;4,044;4,325;4,62;4,622
30.01.2003;2,824;2,576;3,28;4,085;4,369;4,667;4,674
31.01.2003;2,824;2,567;3,266;4,072;4,362;4,668;4,676
03.02.2003;2,831;2,579;3,267;4,081;4,377;4,678;4,686
04.02.2003;2,826;2,552;3,207;4,017;4,322;4,633;4,645
05.02.2003;2,746;2,55;3,289;4,027;4,333;4,646;4,658
06.02.2003;2,734;2,521;3,276;4,025;4,342;4,66;4,677
07.02.2003;2,715;2,484;3,232;3,997;4,324;4,648;4,668
10.02.2003;2,691;2,48;3,237;4,016;4,338;4,665;4,688
11.02.2003;2,696;2,46;3,228;4,011;4,338;4,663;4,683
12.02.2003;2,682;2,421;3,163;3,963;4,306;4,647;4,67
13.02.2003;2,653;2,398;3,108;3,931;4,283;4,619;4,661
14.02.2003;2,658;2,433;3,157;3,976;4,324;4,651;4,679
17.02.2003;2,68;2,44;3,169;3,983;4,326;4,645;4,676
18.02.2003;2,683;2,444;3,185;3,996;4,334;4,649;4,681
19.02.2003;2,679;2,408;3,114;3,927;4,27;4,593;4,627
20.02.2003;2,681;2,405;3,102;3,904;4,26;4,602;4,637
21.02.2003;2,685;2,427;3,127;3,937;4,287;4,617;4,651
24.02.2003;2,581;2,328;3,073;3,887;4,248;4,596;4,636
25.02.2003;2,564;2,312;3,047;3,878;4,251;4,62;4,667
26.02.2003;2,561;2,308;3,051;3,894;4,26;4,612;4,667
27.02.2003;2,573;2,353;3,11;3,954;4,311;4,662;4,725
28.02.2003;2,526;2,293;3,055;3,918;4,26;4,624;4,691
03.03.2003;2,523;2,287;3,032;3,899;4,246;4,608;4,679
04.03.2003;2,528;2,288;3,033;3,895;4,254;4,621;4,696
05.03.2003;2,509;2,288;3,039;3,881;4,237;4,596;4,667
