`;GTDEM10Y Govt;GTITL10Y Govt;GTGBP10Y Govt;GT10 @BGN Govt;GTJPY10Y Govt;GTCAD10Y Govt;GTAUD10Y Govt;GTCHF10Y Govt;GTSEK10Y Govt
01.01.2014;1,925;4,084;3,021;3,029;0,736;2,755;4,235;1,056;2,496
02.01.2014;1,94;3,968;3,025;2,99;0,736;2,739;4,332;1,056;2,503
03.01.2014;1,942;3,913;3,023;2,996;0,736;2,748;4,3445;1,238;2,492
06.01.2014;1,906;3,937;2,971;2,959;0,722;2,712;4,3758;1,191;2,457
07.01.2014;1,885;3,87;2,949;2,94;0,69;2,678;4,3183;1,184;2,438
08.01.2014;1,903;3,882;2,972;2,99;0,703;2,719;4,3023;1,204;2,448
09.01.2014;1,914;3,923;2,982;2,966;0,694;2,68;4,321;1,237;2,458
10.01.2014;1,842;3,915;2,871;2,859;0,697;2,555;4,2673;1,231;2,398
13.01.2014;1,816;3,882;2,826;2,827;0,697;2,541;4,2295;1,211;2,375
14.01.2014;1,813;3,876;2,833;2,872;0,65;2,583;4,196;1,183;2,396
15.01.2014;1,824;3,859;2,862;2,892;0,66;2,576;4,2348;1,178;2,425
16.01.2014;1,779;3,84;2,809;2,842;0,673;2,525;4,1798;1,146;2,375
17.01.2014;1,752;3,821;2,829;2,82;0,669;2,501;4,101;1,14;2,36
20.01.2014;1,74;3,794;2,827;2,82;0,663;2,488;4,083;1,12;2,324
21.01.2014;1,738;3,83;2,833;2,83;0,683;2,505;4,1098;1,106;2,331
22.01.2014;1,756;3,83;2,885;2,866;0,671;2,49;4,1873;1,091;2,366
23.01.2014;1,708;3,858;2,808;2,778;0,656;2,402;4,1723;1,066;2,321
24.01.2014;1,657;3,912;2,771;2,716;0,627;2,396;4,048;1,04;2,269
27.01.2014;1,664;3,895;2,774;2,749;0,635;2,422;4,0178;1,039;2,285
28.01.2014;1,676;3,848;2,805;2,75;0,628;2,419;4,029;1,042;2,302
29.01.2014;1,74;3,853;2,76;2,678;0,63;2,362;4,116;1,022;2,265
30.01.2014;1,714;3,817;2,75;2,696;0,62;2,371;4,007;1,007;2,248
31.01.2014;1,658;3,766;2,705;2,645;0,617;2,336;3,9985;0,999;2,201
03.02.2014;1,643;3,775;2,688;2,577;0,61;2,293;3,9998;0,972;2,206
04.02.2014;1,649;3,782;2,7;2,63;0,608;2,343;3,9945;0,975;2,213
05.02.2014;1,635;3,759;2,688;2,668;0,595;2,388;4,0205;0,971;2,215
06.02.2014;1,694;3,759;2,745;2,701;0,61;2,434;4,0865;1,011;2,268
07.02.2014;1,66;3,686;2,711;2,684;0,615;2,405;4,1525;0,997;2,222
10.02.2014;1,678;3,683;2,718;2,668;0,603;2,402;4,141;1,007;2,232
11.02.2014;1,685;3,681;2,741;2,726;0,603;2,455;4,1828;1,026;2,253
12.02.2014;1,714;3,728;2,818;2,762;0,606;2,482;4,2203;1,054;2,262
13.02.2014;1,666;3,707;2,789;2,733;0,598;2,457;4,1748;1,035;2,242
14.02.2014;1,678;3,686;2,792;2,744;0,594;2,462;4,1055;1,026;2,258
17.02.2014;1,683;3,614;2,781;2,744;0,597;2,462;4,161;1,02;2,262
18.02.2014;1,666;3,556;2,745;2,708;0,597;2,437;4,183;1,007;2,207
19.02.2014;1,66;3,588;2,73;2,74;0,598;2,441;4,1438;0,993;2,168
20.02.2014;1,689;3,648;2,797;2,752;0,583;2,544;4,1443;1,01;2,185
21.02.2014;1,661;3,597;2,78;2,732;0,597;2,516;4,2195;0,998;2,196
24.02.2014;1,678;3,618;2,773;2,739;0,59;2,519;4,1738;0,991;2,211
25.02.2014;1,645;3,584;2,743;2,703;0,587;2,484;4,1693;0,988;2,202
26.02.2014;1,616;3,537;2,724;2,666;0,587;2,441;4,125;0,974;2,184
27.02.2014;1,562;3,458;2,674;2,64;0,582;2,412;4,062;0,956;2,139
28.02.2014;1,623;3,478;2,718;2,648;0,581;2,423;4,0195;0,991;2,218
03.03.2014;1,55;3,452;2,645;2,602;0,574;2,399;3,9808;0,913;2,144
04.03.2014;1,597;3,421;2,696;2,699;0,582;2,467;4,0045;0,937;2,178
05.03.2014;1,604;3,375;2,718;2,706;0,604;2,473;4,0618;0,955;2,186
06.03.2014;1,646;3,44;2,766;2,738;0,617;2,506;4,1;1,006;2,212
07.03.2014;1,652;3,42;2,793;2,789;0,623;2,519;4,167;1,01;2,213
10.03.2014;1,624;3,367;2,795;2,778;0,625;2,493;4,207;0,995;2,184
11.03.2014;1,637;3,397;2,781;2,769;0,628;2,483;4,1813;0,998;2,181
12.03.2014;1,595;3,419;2,751;2,731;0,625;2,449;4,1728;0,975;2,117
13.03.2014;1,54;3,434;2,687;2,645;0,639;2,382;4,17;0,908;2,086
14.03.2014;1,545;3,403;2,663;2,655;0,62;2,391;4,038;0,95;2,08
17.03.2014;1,566;3,376;2,681;2,693;0,619;2,427;4,046;0,966;2,109
18.03.2014;1,566;3,363;2,676;2,673;0,615;2,402;4,0828;0,968;2,104
19.03.2014;1,598;3,394;2,696;2,773;0,609;2,472;4,0645;0,976;2,131
20.03.2014;1,645;3,427;2,765;2,773;0,594;2,499;4,1283;1,004;2,207
21.03.2014;1,63;3,412;2,745;2,743;0,594;2,483;4,1565;1,001;2,204
24.03.2014;1,577;3,409;2,685;2,729;0,609;2,456;4,1655;0,966;2,174
25.03.2014;1,576;3,392;2,707;2,749;0,604;2,476;4,1185;0,936;2,149
26.03.2014;1,567;3,336;2,698;2,693;0,627;2,443;4,11;0,949;2,121
27.03.2014;1,535;3,305;2,675;2,682;0,625;2,433;4,0823;0,916;2,103
28.03.2014;1,548;3,302;2,723;2,722;0,621;2,444;4,068;0,93;2,119
31.03.2014;1,565;3,291;2,735;2,719;0,637;2,456;4,083;0,941;2,111
01.04.2014;1,572;3,288;2,731;2,753;0,615;2,494;4,1303;0,936;2,119
02.04.2014;1,615;3,306;2,773;2,805;0,621;2,547;4,1695;0,952;2,152
03.04.2014;1,602;3,253;2,753;2,798;0,64;2,544;4,1833;0,926;2,139
04.04.2014;1,552;3,168;2,685;2,722;0,643;2,489;4,1535;0,899;2,103
07.04.2014;1,538;3,186;2,663;2,701;0,613;2,459;4,0823;0,884;2,085
08.04.2014;1,556;3,218;2,693;2,682;0,615;2,46;4,0853;0,9;2,102
09.04.2014;1,574;3,2;2,689;2,691;0,611;2,463;4,0703;0,907;2,124
10.04.2014;1,52;3,164;2,618;2,648;0,604;2,437;4,0535;0,878;2,058
11.04.2014;1,502;3,208;2,61;2,626;0,6;2,397;4,0188;0,866;2,024
14.04.2014;1,525;3,172;2,636;2,648;0,603;2,408;3,965;0,86;2,015
15.04.2014;1,471;3,106;2,6;2,629;0,6;2,383;3,9923;0,836;1,962
16.04.2014;1,484;3,097;2,635;2,629;0,605;2,389;3,9775;0,847;1,991
17.04.2014;1,514;3,119;2,666;2,722;0,6;2,442;3,9593;0,863;2,026
18.04.2014;1,514;3,119;2,666;2,722;0,596;2,442;3,9878;0,863;2,026
21.04.2014;1,514;3,119;2,666;2,716;0,603;2,446;3,9875;0,863;2,026
22.04.2014;1,533;3,091;2,71;2,711;0,6;2,44;4,0068;0,878;2,052
23.04.2014;1,521;3,085;2,676;2,7;0,611;2,427;3,9645;0,855;2,03
24.04.2014;1,529;3,122;2,69;2,681;0,612;2,42;3,962;0,812;2,026
25.04.2014;1,483;3,103;2,637;2,663;0,618;2,404;3,9405;0,797;1,98
28.04.2014;1,496;3,132;2,663;2,701;0,612;2,446;3,9268;0,843;1,995
29.04.2014;1,498;3,115;2,686;2,692;0,612;2,439;3,9393;0,845;1,979
30.04.2014;1,468;3,065;2,662;2,647;0,622;2,401;3,9503;0,829;1,957
01.05.2014;1,468;3,062;2,634;2,614;0,617;2,367;3,938;0,829;1,957
02.05.2014;1,449;3,039;2,642;2,585;0,606;2,347;3,9058;0,82;1,939
05.05.2014;1,457;3,039;2,638;2,608;0,606;2,368;3,8705;0,837;1,919
06.05.2014;1,459;3,003;2,657;2,592;0,606;2,371;3,866;0,843;1,935
07.05.2014;1,472;3,013;2,657;2,589;0,596;2,377;3,833;0,83;1,937
08.05.2014;1,445;2,918;2,643;2,617;0,607;2,369;3,8413;0,807;1,914
09.05.2014;1,454;2,951;2,684;2,624;0,603;2,36;3,8205;0,811;1,91
12.05.2014;1,463;2,974;2,732;2,662;0,606;2,399;3,8325;0,803;1,922
13.05.2014;1,42;2,941;2,682;2,61;0,607;2,353;3,8458;0,768;1,89
14.05.2014;1,367;2,91;2,582;2,544;0,597;2,287;3,8048;0,718;1,833
15.05.2014;1,305;3,1;2,523;2,49;0,59;2,252;3,7608;0,695;1,79
16.05.2014;1,329;3,062;2,563;2,524;0,579;2,262;3,715;0,736;1,829
19.05.2014;1,342;3,145;2,587;2,545;0,585;2,261;3,6818;0,744;1,824
20.05.2014;1,35;3,261;2,609;2,512;0,587;2,276;3,7095;0,786;1,837
21.05.2014;1,423;3,2;2,644;2,533;0,593;2,299;3,6565;0,793;1,861
22.05.2014;1,407;3,241;2,652;2,551;0,596;2,321;3,748;0,782;1,857
23.05.2014;1,412;3,151;2,634;2,533;0,587;2,302;3,7823;0,782;1,835
26.05.2014;1,415;2,979;2,634;2,533;0,584;2,319;3,7425;0,769;1,843
27.05.2014;1,388;2,998;2,641;2,515;0,588;2,298;3,746;0,739;1,828
28.05.2014;1,337;2,931;2,547;2,444;0,579;2,221;3,7073;0,703;1,788
29.05.2014;1,353;2,956;2,54;2,465;0,571;2,264;3,6423;0,703;1,788
30.05.2014;1,357;2,962;2,569;2,477;0,573;2,244;3,6555;0,711;1,797
02.06.2014;1,368;2,963;2,613;2,528;0,582;2,277;3,671;0,691;1,815
03.06.2014;1,407;2,997;2,646;2,599;0,584;2,338;3,722;0,715;1,852
04.06.2014;1,431;3,019;2,697;2,603;0,611;2,347;3,7795;0,73;1,873
05.06.2014;1,403;2,931;2,677;2,583;0,613;2,328;3,7743;0,727;1,865
06.06.2014;1,351;2,756;2,654;2,588;0,595;2,317;3,7733;0,694;1,785
09.06.2014;1,378;2,703;2,698;2,604;0,598;2,318;3,7818;0,694;1,813
10.06.2014;1,403;2,804;2,72;2,645;0,597;2,344;3,784;0,774;1,813
11.06.2014;1,396;2,791;2,71;2,64;0,599;2,342;3,8475;0,759;1,811
12.06.2014;1,386;2,819;2,716;2,596;0,597;2,314;3,8222;0,754;1,793
13.06.2014;1,361;2,771;2,744;2,604;0,598;2,31;3,7842;0,739;1,795
16.06.2014;1,353;2,785;2,752;2,598;0,597;2,288;3,7438;0,729;1,777
17.06.2014;1,399;2,823;2,776;2,653;0,59;2,309;3,6983;0,752;1,819
18.06.2014;1,374;2,855;2,739;2,585;0,597;2,259;3,7365;0,74;1,831
19.06.2014;1,321;2,911;2,734;2,621;0,586;2,259;3,6618;0,705;1,792
20.06.2014;1,343;2,945;2,759;2,606;0,582;2,292;3,6768;0,705;1,81
23.06.2014;1,322;2,901;2,737;2,627;0,579;2,331;3,6928;0,7;1,807
24.06.2014;1,319;2,879;2,733;2,579;0,577;2,282;3,6378;0,698;1,927
25.06.2014;1,26;2,849;2,645;2,56;0,569;2,269;3,5888;0,655;1,87
26.06.2014;1,244;2,843;2,635;2,529;0,567;2,239;3,5883;0,652;1,839
27.06.2014;1,261;2,832;2,639;2,535;0,559;2,247;3,5425;0,646;1,855
30.06.2014;1,244;2,845;2,669;2,531;0,561;2,233;3,5415;0,647;1,841
01.07.2014;1,246;2,829;2,704;2,566;0,554;2,248;3,5875;0,637;1,835
02.07.2014;1,286;2,908;2,75;2,627;0,556;2,318;3,5613;0,654;1,878
03.07.2014;1,288;2,843;2,75;2,639;0,561;2,32;3,5403;0,644;1,861
04.07.2014;1,264;2,832;2,756;2,639;0,565;2,328;3,587;0,641;1,819
07.07.2014;1,255;2,81;2,725;2,612;0,562;2,298;3,5903;0,634;1,783
